id;year;gpa;maths_exam;art_exam;language_exam;social_activity;essay_score;interview_score;score;accepted;graduated
CS-1980-00002;1980;3.743428838;0.898699795;0.978948654;0.937878751;4;0.991514619;0.999604207;857;TRUE;FALSE
CS-1980-00004;1980;3.047624863;0.993001418;0.950672535;0.763700728;5;0.996857688;0.949953953;841;TRUE;TRUE
CS-1980-00007;1980;2.897190747;0.718590513;0.94158291;0.489207433;4;0.980957168;0.912486602;811;TRUE;TRUE
CS-1980-00008;1980;3.948449827;0.953325376;0.981074377;0.914728938;1;0.999488901;0.997137717;875;TRUE;FALSE
CS-1980-00012;1980;3.939870024;0.452506064;0.952712472;0.974584889;4;0.940924189;0.973076081;790;TRUE;TRUE
CS-1980-00036;1980;3.556770732;0.982566701;0.935440176;0.986107229;1;0.988830129;0.736872932;797;TRUE;FALSE
CS-1980-00047;1980;3.538080358;0.995406603;0.747385941;0.925491684;2;0.944369621;0.999253653;837;TRUE;TRUE
CS-1980-00053;1980;3.416580345;0.758568226;0.650530752;0.936169936;4;0.562111666;0.994111672;771;TRUE;TRUE
CS-1980-00064;1980;3.911869642;0.992756924;0.993584906;0.948555203;4;0.997800715;0.998745776;817;TRUE;TRUE
CS-1980-00068;1980;3.214184854;0.588443963;0.804121331;0.910173657;1;0.984017372;0.997593447;762;TRUE;TRUE
CS-1980-00070;1980;3.85275062;0.975025847;0.995272204;0.833505294;3;0.942169454;0.994400916;821;TRUE;TRUE
CS-1980-00077;1980;3.787127971;0.692028768;0.608457897;0.98926515;5;0.527486819;0.999650921;765;TRUE;TRUE
CS-1980-00083;1980;3.11537334;0.775548923;0.739896479;0.962653178;1;0.999549477;0.99562385;776;TRUE;TRUE
CS-1980-00090;1980;3.884823949;0.983021071;0.924714263;0.988930675;1;0.992238131;0.999822036;848;TRUE;FALSE
CS-1980-00103;1980;3.59298397;0.793408027;0.99246478;0.13753838;1;0.986888385;0.870369885;801;TRUE;TRUE
CS-1980-00106;1980;3.747263154;0.654190911;0.470901235;0.970797906;3;0.996462678;0.954414208;824;TRUE;TRUE
CS-1980-00112;1980;3.509872645;0.912285463;0.980696269;0.956443343;4;0.971301432;0.997834161;803;TRUE;TRUE
CS-1980-00114;1980;3.428436765;0.854679015;0.928962098;0.499897628;4;0.984919221;0.80242692;779;TRUE;TRUE
CS-1980-00124;1980;3.284567621;0.434126821;0.638157065;0.971711509;1;0.966659571;0.999594635;769;TRUE;TRUE
CS-1980-00127;1980;3.252866959;0.875232808;0.888994348;0.872731834;4;0.925332242;0.985452837;841;TRUE;TRUE
CS-1980-00130;1980;3.464769727;0.18313663;0.99801995;0.973558374;4;0.999844981;0.985077293;767;TRUE;FALSE
CS-1980-00142;1980;3.963793444;0.978022053;0.985788864;0.951881423;2;0.97962261;0.999878825;894;TRUE;TRUE
CS-1980-00143;1980;3.185872314;0.974825327;0.882490571;0.90212893;4;0.958711926;0.997868785;775;TRUE;FALSE
CS-1980-00149;1980;3.757746446;0.988939492;0.878734093;0.99470514;2;0.981581878;0.920190917;849;TRUE;FALSE
CS-1980-00150;1980;3.816922095;0.746775027;0.392244627;0.899312579;1;0.945147793;0.995696279;807;TRUE;TRUE
CS-1980-00152;1980;3.761274092;0.989479264;0.790544985;0.836824436;3;0.97660196;0.891513805;857;TRUE;TRUE
CS-1980-00153;1980;3.642781612;0.554959392;0.992165476;0.884529169;5;0.989049431;0.986056934;780;TRUE;TRUE
CS-1980-00156;1980;3.926886613;0.852880456;0.485010031;0.998515944;3;0.971533751;0.988333425;769;TRUE;FALSE
CS-1980-00159;1980;3.537208314;0.597081572;0.99233594;0.690370694;4;0.999524416;0.991906643;770;TRUE;FALSE
CS-1980-00160;1980;3.792816203;0.820804545;0.500302231;0.547334478;3;0.764197343;0.983944184;775;TRUE;FALSE
CS-1980-00171;1980;3.910482791;0.704983019;0.942278466;0.997380155;2;0.998690092;0.957744896;806;TRUE;TRUE
CS-1980-00180;1980;3.986657975;0.967280097;0.995014639;0.9888785;1;0.913202588;0.998752306;897;TRUE;TRUE
CS-1980-00183;1980;3.235742128;0.764933047;0.961436921;0.95471246;3;0.99278129;0.991648458;794;TRUE;FALSE
CS-1980-00185;1980;3.411047644;0.966489758;0.993360135;0.895487783;1;0.978380327;0.999744211;831;TRUE;FALSE
CS-1980-00190;1980;3.557163267;0.625996247;0.876944837;0.876874733;3;0.993309679;0.999745913;802;TRUE;TRUE
CS-1980-00192;1980;3.831818696;0.740368114;0.999297025;0.998589653;5;0.992854193;0.918652562;838;TRUE;TRUE
CS-1980-00193;1980;3.428234121;0.581781981;0.618486206;0.477115309;4;0.900725587;0.903141879;786;TRUE;TRUE
CS-1980-00195;1980;3.795723819;0.995025774;0.415153146;0.994596721;2;0.89732568;0.85362121;819;TRUE;TRUE
CS-1980-00204;1980;3.53862136;0.989788865;0.962347729;0.942905554;4;0.925177554;0.981415254;853;TRUE;TRUE
CS-1980-00205;1980;3.758414368;0.732310428;0.203614662;0.933872712;3;0.997731673;0.93193421;853;TRUE;FALSE
CS-1980-00206;1980;3.296165932;0.89154657;0.995195898;0.984515268;5;0.998887717;0.968951055;776;TRUE;FALSE
CS-1980-00208;1980;3.60170416;0.994796455;0.969806856;0.914543767;3;0.982396436;0.981678596;833;TRUE;FALSE
CS-1980-00209;1980;3.810732085;0.861754039;0.191282984;0.96730472;1;0.591285265;0.86109434;798;TRUE;TRUE
CS-1980-00212;1980;3.633531561;0.999710711;0.997604669;0.861648766;3;0.998128265;0.943850067;784;TRUE;FALSE
CS-1980-00214;1980;3.334991955;0.358466871;0.919440334;0.344089407;4;0.988580921;0.98101688;786;TRUE;FALSE
CS-1980-00217;1980;3.550611234;0.7090916;0.996654878;0.994453331;5;0.956074732;0.977840352;796;TRUE;FALSE
CS-1980-00227;1980;3.702257595;0.987593424;0.912758245;0.994496913;3;0.995518138;0.999325368;820;TRUE;FALSE
CS-1980-00228;1980;3.325539926;0.812602137;0.893706289;0.463444422;1;0.987731931;0.529646098;769;TRUE;FALSE
CS-1980-00229;1980;3.626590356;0.90625269;0.718159739;0.763836268;5;0.996097939;0.9758781;836;TRUE;TRUE
CS-1980-00231;1980;3.737886197;0.76498346;0.984072528;0.996212379;1;0.99747468;0.99632072;785;TRUE;TRUE
CS-1980-00233;1980;3.761819439;0.994797882;0.413229234;0.97471744;5;0.996811761;0.997585448;868;TRUE;TRUE
CS-1980-00234;1980;3.683345878;0.979647039;0.852754548;0.949635401;2;0.998516966;0.828175515;835;TRUE;FALSE
CS-1980-00237;1980;3.661521915;0.946940191;0.95597366;0.999394961;2;0.971865001;0.999794728;837;TRUE;TRUE
CS-1980-00238;1980;3.69180582;0.946464865;0.947910453;0.988599768;2;0.934059804;0.99847897;838;TRUE;TRUE
CS-1980-00249;1980;3.684645341;0.605594224;0.842502464;0.978661778;1;0.9981803;0.990510724;830;TRUE;TRUE
CS-1980-00263;1980;3.112768944;0.955774704;0.864679705;0.235102854;4;0.812653927;0.929970049;805;TRUE;TRUE
CS-1980-00269;1980;3.32142857;0.893273856;0.869875162;0.954102955;2;0.992617723;0.985811359;785;TRUE;TRUE
CS-1980-00279;1980;3.422100237;0.930179051;0.755561695;0.41087867;2;0.736788088;0.590224341;772;TRUE;TRUE
CS-1980-00286;1980;3.050460876;0.952842927;0.227354;0.353940473;1;0.721859937;0.761703433;781;TRUE;TRUE
CS-1980-00287;1980;3.775981806;0.994120931;0.54738777;0.989706611;4;0.999319209;0.999440219;799;TRUE;TRUE
CS-1980-00289;1980;3.164331707;0.943722033;0.931905926;0.700428643;1;0.998965123;0.923671665;797;TRUE;FALSE
CS-1980-00292;1980;3.569486282;0.988587669;0.964200874;0.915276694;5;0.999730745;0.981083207;803;TRUE;FALSE
CS-1980-00300;1980;3.986974175;0.98591269;0.991619007;0.760078526;2;0.999841434;0.998411647;862;TRUE;TRUE
CS-1980-00301;1980;3.889966311;0.997098714;0.522991006;0.973325035;3;0.992486004;0.810154509;874;TRUE;FALSE
CS-1980-00302;1980;3.406549881;0.948578882;0.979973507;0.405479978;3;0.917949232;0.991519136;836;TRUE;TRUE
CS-1980-00303;1980;3.708302794;0.9850815;0.984647837;0.993853026;5;0.993720499;0.973386746;818;TRUE;TRUE
CS-1980-00305;1980;3.990579024;0.305391728;0.994114334;0.984986359;4;0.998815049;0.994669674;834;TRUE;TRUE
CS-1980-00307;1980;3.307236845;0.76468243;0.993918885;0.951949015;1;0.893839266;0.994995004;805;TRUE;FALSE
CS-1980-00308;1980;3.624397521;0.88316149;0.936240537;0.991910512;4;0.9964444;0.999859851;844;TRUE;FALSE
CS-1980-00311;1980;3.635146491;0.518542588;0.841914011;0.916805446;4;0.999325836;0.98130395;807;TRUE;TRUE
